,Tipo,Operación,Provincia,Vendedor
656,Casa,Venta,Lleida,Luisa
657,Parking,Venta,Tarragona,Pedro
658,Casa,Alquiler,Barcelona,María
659,Piso,Venta,Tarragona,Carmen
660,Local,Venta,Girona,María
661,Parking,Alquiler,Girona,Joaquín
662,Local,Alquiler,Barcelona,Joaquín
663,Local,Alquiler,Girona,Luisa
664,Local,Alquiler,Girona,Pedro
665,Suelo,Venta,Lleida,Luisa
666,Oficina,Venta,Barcelona,María
667,Parking,Venta,Barcelona,Pedro
668,Parking,Venta,Tarragona,Luisa
669,Industrial,Venta,Barcelona,María
670,Suelo,Alquiler,Barcelona,Luisa
671,Local,Alquiler,Tarragona,Luisa
672,Industrial,Venta,Barcelona,Luisa
673,Parking,Venta,Girona,Pedro
674,Oficina,Alquiler,Barcelona,Pedro
675,Casa,Venta,Girona,Carmen
676,Industrial,Alquiler,Tarragona,Joaquín
677,Industrial,Venta,Barcelona,María
678,Suelo,Venta,Tarragona,Joaquín
679,Piso,Alquiler,Tarragona,Carmen
680,Industrial,Alquiler,Tarragona,Jesús
681,Oficina,Venta,Lleida,Joaquín
682,Piso,Alquiler,Lleida,Jesús
683,Parking,Venta,Tarragona,María
684,Piso,Venta,Girona,Carmen
685,Suelo,Alquiler,Tarragona,María
686,Piso,Alquiler,Lleida,Luisa
687,Suelo,Venta,Lleida,Luisa
688,Parking,Venta,Girona,María
689,Parking,Alquiler,Tarragona,Joaquín
690,Casa,Alquiler,Girona,Joaquín
691,Oficina,Venta,Lleida,María
692,Suelo,Venta,Barcelona,Jesús
693,Piso,Alquiler,Lleida,María
694,Local,Venta,Lleida,Pedro
695,Suelo,Alquiler,Tarragona,Luisa
696,Local,Alquiler,Barcelona,Carmen
697,Parking,Alquiler,Girona,Carmen
698,Suelo,Alquiler,Girona,Luisa
699,Local,Alquiler,Girona,Luisa
700,Casa,Venta,Girona,Joaquín
701,Piso,Alquiler,Girona,Carmen
702,Casa,Venta,Tarragona,María
703,Piso,Alquiler,Barcelona,Carmen
704,Oficina,Alquiler,Tarragona,Luisa
705,Piso,Alquiler,Girona,Joaquín
706,Industrial,Venta,Girona,Carmen
707,Industrial,Venta,Tarragona,Pedro
708,Casa,Alquiler,Tarragona,Jesús
709,Parking,Venta,Lleida,María
710,Casa,Venta,Tarragona,Luisa
711,Parking,Alquiler,Lleida,María
712,Casa,Venta,Barcelona,Luisa
713,Casa,Alquiler,Lleida,Pedro
714,Oficina,Alquiler,Lleida,Jesús
715,Oficina,Alquiler,Barcelona,Luisa
716,Local,Alquiler,Tarragona,Jesús
717,Suelo,Alquiler,Girona,María
718,Oficina,Venta,Tarragona,Pedro
719,Casa,Venta,Tarragona,Luisa
720,Industrial,Venta,Tarragona,Luisa
721,Industrial,Alquiler,Girona,Carmen
722,Casa,Alquiler,Girona,María
723,Oficina,Alquiler,Barcelona,Joaquín
724,Oficina,Alquiler,Barcelona,Carmen
725,Parking,Venta,Girona,María
726,Suelo,Alquiler,Girona,Luisa
727,Suelo,Venta,Barcelona,Pedro
728,Casa,Alquiler,Lleida,Pedro
729,Parking,Alquiler,Tarragona,Pedro
730,Casa,Venta,Girona,Joaquín
731,Suelo,Venta,Tarragona,Pedro
732,Oficina,Alquiler,Girona,Jesús
733,Piso,Venta,Lleida,María
734,Oficina,Alquiler,Barcelona,Joaquín
735,Industrial,Venta,Barcelona,Pedro
736,Suelo,Alquiler,Lleida,Joaquín
737,Suelo,Alquiler,Lleida,Luisa
738,Piso,Venta,Barcelona,Luisa
739,Parking,Alquiler,Barcelona,Joaquín
740,Parking,Venta,Tarragona,María
741,Suelo,Venta,Barcelona,Pedro
742,Local,Venta,Lleida,María
743,Casa,Venta,Barcelona,Jesús
744,Suelo,Venta,Lleida,Pedro
745,Oficina,Alquiler,Tarragona,Jesús
746,Suelo,Alquiler,Barcelona,María
747,Industrial,Alquiler,Girona,María
748,Local,Venta,Lleida,Pedro
749,Parking,Alquiler,Girona,Carmen
750,Parking,Venta,Girona,Luisa
751,Local,Venta,Barcelona,Luisa
752,Local,Venta,Lleida,Luisa
753,Piso,Alquiler,Tarragona,María
754,Oficina,Venta,Tarragona,Pedro
755,Industrial,Alquiler,Tarragona,Pedro
756,Industrial,Venta,Barcelona,Jesús
757,Piso,Venta,Barcelona,Luisa
758,Piso,Alquiler,Tarragona,María
759,Casa,Alquiler,Barcelona,Joaquín
760,Local,Venta,Girona,Carmen
761,Parking,Venta,Barcelona,María
762,Piso,Alquiler,Girona,Joaquín
763,Oficina,Alquiler,Girona,Pedro
764,Local,Alquiler,Girona,Carmen
765,Piso,Alquiler,Girona,Jesús
766,Piso,Alquiler,Barcelona,Jesús
767,Piso,Venta,Girona,Carmen
768,Casa,Venta,Barcelona,Pedro
769,Oficina,Venta,Lleida,Carmen
770,Industrial,Venta,Girona,Luisa
771,Suelo,Venta,Barcelona,Jesús
772,Suelo,Venta,Lleida,Joaquín
773,Local,Alquiler,Tarragona,Joaquín
774,Local,Venta,Lleida,Carmen
775,Parking,Venta,Lleida,Joaquín
776,Suelo,Alquiler,Tarragona,Luisa
777,Local,Alquiler,Barcelona,Jesús
778,Local,Alquiler,Tarragona,María
779,Local,Venta,Tarragona,Carmen
780,Suelo,Alquiler,Lleida,Luisa
781,Suelo,Venta,Girona,María
782,Oficina,Alquiler,Girona,Joaquín
783,Parking,Alquiler,Tarragona,María
784,Casa,Alquiler,Barcelona,Luisa
785,Parking,Venta,Lleida,Jesús
786,Casa,Venta,Barcelona,María
787,Casa,Venta,Girona,Carmen
788,Piso,Venta,Barcelona,Luisa
789,Piso,Venta,Tarragona,Luisa
790,Industrial,Venta,Girona,Jesús
791,Piso,Venta,Tarragona,Joaquín
792,Piso,Venta,Lleida,María
793,Oficina,Venta,Tarragona,Joaquín
794,Casa,Alquiler,Tarragona,Jesús
795,Casa,Alquiler,Lleida,Carmen
796,Oficina,Venta,Barcelona,Jesús
797,Piso,Venta,Girona,Jesús
798,Suelo,Alquiler,Tarragona,Jesús
799,Local,Alquiler,Tarragona,María
800,Local,Alquiler,Tarragona,Jesús
801,Suelo,Venta,Lleida,María
802,Local,Alquiler,Tarragona,María
803,Industrial,Venta,Girona,Jesús
804,Piso,Alquiler,Barcelona,Pedro
805,Oficina,Venta,Girona,Luisa
806,Suelo,Alquiler,Tarragona,María
807,Oficina,Alquiler,Girona,Joaquín
808,Casa,Venta,Tarragona,Pedro
809,Industrial,Venta,Barcelona,Carmen
810,Industrial,Venta,Lleida,Carmen
811,Oficina,Venta,Tarragona,Pedro
812,Casa,Venta,Girona,Pedro
813,Oficina,Alquiler,Barcelona,Luisa
814,Industrial,Venta,Tarragona,Pedro
815,Parking,Alquiler,Barcelona,Joaquín
816,Suelo,Alquiler,Barcelona,Joaquín
817,Suelo,Alquiler,Tarragona,Pedro
818,Parking,Venta,Barcelona,Luisa
819,Piso,Alquiler,Tarragona,Jesús
820,Parking,Venta,Girona,María
821,Industrial,Venta,Tarragona,María
822,Parking,Venta,Lleida,Carmen
823,Piso,Alquiler,Girona,Jesús
824,Local,Venta,Tarragona,Luisa
825,Oficina,Alquiler,Girona,Jesús
826,Industrial,Venta,Tarragona,Pedro
827,Industrial,Alquiler,Barcelona,Pedro
828,Local,Venta,Lleida,Joaquín
829,Local,Venta,Lleida,Jesús
830,Parking,Venta,Girona,Carmen
831,Casa,Alquiler,Tarragona,Carmen
832,Oficina,Alquiler,Lleida,Pedro
833,Casa,Venta,Barcelona,Jesús
834,Parking,Venta,Lleida,Carmen
835,Suelo,Venta,Tarragona,Carmen
836,Local,Venta,Girona,Joaquín
837,Piso,Alquiler,Girona,Joaquín
838,Local,Venta,Lleida,Joaquín
839,Parking,Alquiler,Girona,Carmen
840,Piso,Venta,Girona,Luisa
841,Suelo,Venta,Barcelona,Joaquín
842,Casa,Venta,Barcelona,Carmen
843,Local,Alquiler,Tarragona,Luisa
844,Industrial,Venta,Tarragona,Luisa
845,Suelo,Alquiler,Tarragona,Joaquín
846,Piso,Alquiler,Girona,Pedro
847,Oficina,Alquiler,Tarragona,Jesús
848,Casa,Venta,Tarragona,Carmen
849,Piso,Alquiler,Girona,Carmen
850,Casa,Alquiler,Girona,Luisa
851,Casa,Alquiler,Girona,Luisa
852,Piso,Venta,Tarragona,Jesús
853,Piso,Alquiler,Lleida,Carmen
854,Suelo,Venta,Girona,Carmen
855,Industrial,Venta,Barcelona,Jesús
856,Industrial,Venta,Girona,María
857,Oficina,Alquiler,Lleida,Luisa
858,Suelo,Venta,Barcelona,Joaquín
859,Piso,Venta,Lleida,Jesús
860,Piso,Alquiler,Girona,Pedro
861,Local,Alquiler,Barcelona,Joaquín
862,Oficina,Alquiler,Barcelona,Luisa
863,Industrial,Venta,Girona,Luisa
864,Parking,Alquiler,Girona,Joaquín
865,Parking,Venta,Girona,María
866,Suelo,Venta,Tarragona,Luisa
867,Suelo,Venta,Tarragona,Joaquín
868,Parking,Alquiler,Lleida,Carmen
869,Industrial,Venta,Tarragona,Luisa
870,Casa,Alquiler,Tarragona,Joaquín
871,Piso,Alquiler,Girona,Jesús
872,Industrial,Alquiler,Lleida,Luisa
873,Piso,Venta,Tarragona,Pedro
874,Oficina,Alquiler,Girona,Pedro
875,Industrial,Venta,Tarragona,María
876,Oficina,Alquiler,Lleida,Carmen
877,Industrial,Alquiler,Barcelona,Pedro
878,Oficina,Venta,Lleida,Pedro
879,Parking,Alquiler,Lleida,Joaquín
880,Casa,Alquiler,Lleida,Carmen
881,Local,Venta,Tarragona,Luisa
882,Piso,Venta,Girona,María
883,Piso,Venta,Girona,Carmen
884,Casa,Alquiler,Lleida,Jesús
885,Piso,Venta,Girona,Joaquín
886,Suelo,Alquiler,Barcelona,Luisa
887,Oficina,Alquiler,Lleida,María
888,Oficina,Alquiler,Lleida,Pedro
889,Oficina,Venta,Tarragona,Pedro
890,Casa,Venta,Girona,Pedro
891,Casa,Alquiler,Tarragona,María
892,Casa,Venta,Tarragona,Pedro
893,Parking,Alquiler,Lleida,Jesús
894,Industrial,Alquiler,Barcelona,Jesús
895,Piso,Alquiler,Tarragona,Luisa
896,Suelo,Alquiler,Lleida,Carmen
897,Casa,Venta,Barcelona,Jesús
898,Local,Venta,Barcelona,Jesús
899,Casa,Alquiler,Barcelona,Pedro
900,Parking,Alquiler,Girona,Pedro
901,Oficina,Alquiler,Barcelona,Joaquín
902,Suelo,Alquiler,Tarragona,Carmen
903,Piso,Venta,Barcelona,Pedro
904,Local,Alquiler,Girona,Joaquín
905,Industrial,Alquiler,Tarragona,Pedro
906,Oficina,Alquiler,Barcelona,Jesús
907,Parking,Venta,Girona,Pedro
908,Industrial,Venta,Tarragona,Carmen
909,Piso,Alquiler,Tarragona,Jesús
910,Local,Alquiler,Barcelona,Pedro
911,Suelo,Alquiler,Lleida,Pedro
912,Suelo,Alquiler,Lleida,Pedro
913,Piso,Venta,Girona,Pedro
914,Oficina,Venta,Girona,Jesús
915,Piso,Alquiler,Lleida,María
916,Parking,Venta,Tarragona,Pedro
917,Industrial,Alquiler,Lleida,Carmen
918,Casa,Alquiler,Lleida,María
919,Industrial,Venta,Barcelona,Luisa
920,Suelo,Venta,Tarragona,Luisa
921,Oficina,Venta,Lleida,Joaquín
922,Suelo,Venta,Tarragona,Carmen
923,Parking,Alquiler,Girona,Luisa
924,Parking,Alquiler,Lleida,Joaquín
925,Suelo,Alquiler,Barcelona,Luisa
926,Suelo,Alquiler,Barcelona,Carmen
927,Industrial,Alquiler,Barcelona,Joaquín
928,Local,Alquiler,Tarragona,Carmen
929,Local,Venta,Tarragona,Luisa
930,Suelo,Venta,Lleida,Carmen
931,Parking,Venta,Lleida,Joaquín
932,Parking,Alquiler,Tarragona,Luisa
933,Casa,Alquiler,Girona,Jesús
934,Oficina,Alquiler,Lleida,Pedro
935,Parking,Alquiler,Girona,María
936,Industrial,Alquiler,Girona,María
937,Local,Venta,Barcelona,Pedro
938,Industrial,Alquiler,Girona,Pedro
939,Industrial,Venta,Barcelona,Luisa
940,Industrial,Venta,Barcelona,Jesús
941,Industrial,Alquiler,Tarragona,Carmen
942,Piso,Venta,Tarragona,Carmen
943,Piso,Alquiler,Girona,Carmen
944,Piso,Venta,Tarragona,Pedro
945,Piso,Venta,Girona,Pedro
946,Suelo,Venta,Lleida,Carmen
947,Piso,Alquiler,Girona,Pedro
948,Parking,Alquiler,Barcelona,María
949,Piso,Venta,Girona,Pedro
950,Oficina,Venta,Barcelona,Carmen
951,Industrial,Venta,Barcelona,María
952,Casa,Alquiler,Girona,Carmen
953,Parking,Venta,Lleida,María
954,Suelo,Venta,Girona,María
955,Piso,Venta,Tarragona,Carmen
956,Casa,Alquiler,Tarragona,Luisa
957,Local,Alquiler,Tarragona,Carmen
958,Parking,Venta,Tarragona,María
959,Suelo,Venta,Girona,Joaquín
960,Parking,Alquiler,Girona,Carmen
961,Oficina,Alquiler,Barcelona,Joaquín
962,Local,Venta,Lleida,Pedro
963,Suelo,Venta,Girona,Luisa
964,Industrial,Venta,Girona,Joaquín
965,Piso,Alquiler,Lleida,María
966,Piso,Venta,Girona,Carmen
967,Local,Alquiler,Lleida,Jesús
968,Piso,Venta,Lleida,Pedro
969,Piso,Alquiler,Girona,Luisa
970,Piso,Venta,Lleida,María
971,Piso,Venta,Girona,Joaquín
972,Casa,Alquiler,Lleida,Jesús
973,Parking,Alquiler,Lleida,Jesús
974,Suelo,Venta,Lleida,Pedro
975,Local,Alquiler,Barcelona,Pedro
976,Suelo,Alquiler,Barcelona,Joaquín
977,Casa,Venta,Tarragona,María
978,Casa,Alquiler,Barcelona,Joaquín
979,Suelo,Venta,Barcelona,Joaquín
980,Local,Venta,Girona,Pedro
981,Casa,Alquiler,Barcelona,Carmen
982,Oficina,Alquiler,Barcelona,Luisa
983,Suelo,Alquiler,Lleida,Jesús
984,Piso,Alquiler,Barcelona,Pedro
985,Suelo,Alquiler,Lleida,Joaquín
986,Industrial,Venta,Lleida,Carmen
987,Casa,Alquiler,Tarragona,Jesús
988,Piso,Venta,Lleida,Joaquín
989,Industrial,Venta,Barcelona,Pedro
990,Oficina,Venta,Barcelona,Luisa
991,Piso,Alquiler,Girona,María
992,Industrial,Venta,Tarragona,Luisa
993,Local,Venta,Girona,Joaquín
994,Oficina,Venta,Tarragona,Joaquín
995,Parking,Alquiler,Girona,Carmen
996,Industrial,Alquiler,Girona,Pedro
997,Local,Venta,Girona,Luisa
998,Industrial,Venta,Girona,Pedro
999,Parking,Venta,Lleida,Luisa
1000,Local,Venta,Barcelona,Luisa
1001,Piso,Alquiler,Barcelona,María
1002,Parking,Venta,Tarragona,Jesús
1003,Piso,Venta,Lleida,Jesús
1004,Oficina,Alquiler,Girona,Luisa
1005,Suelo,Venta,Lleida,Pedro
1006,Oficina,Alquiler,Tarragona,Jesús
1007,Casa,Venta,Lleida,Carmen
1008,Piso,Alquiler,Tarragona,Pedro
1009,Parking,Venta,Girona,Luisa
1010,Piso,Alquiler,Barcelona,María
1011,Oficina,Venta,Tarragona,Jesús
1012,Oficina,Venta,Barcelona,Pedro
1013,Casa,Venta,Barcelona,María
1014,Local,Alquiler,Barcelona,Luisa
1015,Parking,Alquiler,Barcelona,María
1016,Parking,Venta,Girona,Carmen
1017,Local,Alquiler,Barcelona,Jesús
1018,Suelo,Venta,Lleida,Jesús
1019,Industrial,Alquiler,Lleida,María
1020,Suelo,Alquiler,Girona,Joaquín
1021,Piso,Alquiler,Tarragona,Joaquín
1022,Oficina,Venta,Girona,Pedro
1023,Piso,Alquiler,Barcelona,Carmen
1024,Industrial,Alquiler,Tarragona,Jesús
1025,Parking,Alquiler,Barcelona,Luisa
1026,Casa,Alquiler,Girona,Joaquín
1027,Casa,Venta,Lleida,Joaquín
1028,Piso,Alquiler,Lleida,Joaquín
1029,Piso,Alquiler,Tarragona,María
1030,Industrial,Alquiler,Barcelona,María
1031,Industrial,Alquiler,Barcelona,Luisa
1032,Casa,Alquiler,Lleida,Luisa
1033,Industrial,Alquiler,Girona,Luisa
1034,Industrial,Venta,Barcelona,Jesús
1035,Local,Venta,Lleida,Luisa
1036,Industrial,Venta,Lleida,Jesús
1037,Piso,Alquiler,Girona,Carmen
1038,Casa,Alquiler,Lleida,Pedro
1039,Local,Venta,Barcelona,Jesús
1040,Local,Alquiler,Tarragona,Joaquín
1041,Suelo,Venta,Tarragona,María
1042,Suelo,Alquiler,Tarragona,Pedro
1043,Piso,Alquiler,Tarragona,Joaquín
1044,Parking,Alquiler,Girona,Joaquín
1045,Suelo,Alquiler,Girona,Luisa
1046,Oficina,Alquiler,Barcelona,Jesús
1047,Casa,Alquiler,Barcelona,Luisa
1048,Oficina,Venta,Barcelona,Joaquín
1049,Casa,Venta,Tarragona,Carmen
1050,Parking,Venta,Lleida,Pedro
1051,Casa,Venta,Girona,María
1052,Industrial,Venta,Girona,María
1053,Oficina,Alquiler,Barcelona,Carmen
1054,Local,Alquiler,Lleida,Pedro
1055,Suelo,Alquiler,Girona,Carmen
1056,Casa,Venta,Barcelona,María
1057,Parking,Venta,Barcelona,Joaquín
1058,Oficina,Venta,Girona,Jesús
1059,Piso,Venta,Barcelona,Jesús
1060,Industrial,Venta,Barcelona,Joaquín
1061,Parking,Venta,Tarragona,Joaquín
1062,Oficina,Venta,Barcelona,Jesús
1063,Piso,Alquiler,Girona,Carmen
1064,Industrial,Alquiler,Lleida,Joaquín
1065,Suelo,Venta,Girona,Pedro
1066,Suelo,Venta,Lleida,Pedro
1067,Parking,Venta,Barcelona,Joaquín
1068,Local,Venta,Tarragona,Pedro
1069,Parking,Venta,Lleida,Pedro
1070,Parking,Venta,Girona,Carmen
1071,Piso,Alquiler,Girona,Carmen
1072,Oficina,Alquiler,Tarragona,Luisa
1073,Industrial,Alquiler,Lleida,Joaquín
1074,Parking,Alquiler,Barcelona,Jesús
1075,Parking,Venta,Lleida,Luisa
1076,Local,Alquiler,Barcelona,María
1077,Oficina,Alquiler,Barcelona,Carmen
1078,Oficina,Venta,Girona,Luisa
1079,Local,Alquiler,Lleida,Joaquín
1080,Piso,Alquiler,Barcelona,Carmen
1081,Oficina,Venta,Tarragona,Carmen
1082,Oficina,Alquiler,Tarragona,Carmen
1083,Parking,Alquiler,Girona,Joaquín
1084,Industrial,Venta,Barcelona,Joaquín
1085,Piso,Alquiler,Lleida,Carmen
1086,Parking,Alquiler,Tarragona,Luisa
1087,Industrial,Alquiler,Tarragona,Pedro
1088,Industrial,Venta,Barcelona,Carmen
1089,Local,Alquiler,Barcelona,Pedro
1090,Oficina,Venta,Tarragona,Jesús
1091,Piso,Alquiler,Tarragona,Carmen
1092,Parking,Alquiler,Girona,Carmen
1093,Piso,Venta,Barcelona,Carmen
1094,Local,Venta,Barcelona,María
1095,Local,Venta,Girona,Pedro
1096,Oficina,Venta,Tarragona,Luisa
1097,Suelo,Venta,Barcelona,Pedro
1098,Industrial,Alquiler,Girona,Luisa
1099,Piso,Alquiler,Tarragona,Jesús
1100,Suelo,Alquiler,Lleida,Joaquín
1101,Casa,Venta,Tarragona,Joaquín
1102,Local,Venta,Lleida,María
1103,Oficina,Venta,Lleida,Luisa
1104,Parking,Alquiler,Tarragona,Carmen
1105,Oficina,Venta,Girona,Carmen
1106,Suelo,Alquiler,Tarragona,Carmen
1107,Industrial,Alquiler,Lleida,Pedro
1108,Parking,Alquiler,Tarragona,Carmen
1109,Local,Venta,Lleida,Pedro
1110,Parking,Alquiler,Barcelona,Jesús
1111,Industrial,Alquiler,Barcelona,Pedro
1112,Parking,Venta,Tarragona,Luisa
1113,Industrial,Venta,Girona,Luisa
1114,Piso,Alquiler,Lleida,Pedro
1115,Local,Venta,Lleida,Jesús
1116,Casa,Alquiler,Girona,Luisa
1117,Parking,Alquiler,Lleida,María
1118,Local,Alquiler,Barcelona,Pedro
1119,Local,Venta,Girona,Joaquín
1120,Piso,Venta,Lleida,Carmen
1121,Piso,Venta,Girona,Pedro
1122,Oficina,Venta,Girona,Joaquín
1123,Piso,Venta,Girona,Jesús
1124,Casa,Alquiler,Tarragona,Luisa
1125,Piso,Venta,Tarragona,Luisa
1126,Piso,Alquiler,Tarragona,María
1127,Parking,Venta,Barcelona,Joaquín
1128,Oficina,Alquiler,Girona,Pedro
1129,Casa,Alquiler,Barcelona,Carmen
1130,Parking,Venta,Barcelona,Carmen
1131,Piso,Alquiler,Barcelona,Pedro
1132,Oficina,Venta,Lleida,Carmen
1133,Local,Venta,Barcelona,Luisa
1134,Casa,Alquiler,Tarragona,Carmen
1135,Suelo,Venta,Lleida,Joaquín
1136,Piso,Venta,Lleida,Pedro
1137,Casa,Venta,Barcelona,Carmen
1138,Industrial,Venta,Girona,Pedro
1139,Suelo,Venta,Tarragona,Pedro
1140,Parking,Venta,Lleida,Jesús
1141,Casa,Venta,Tarragona,María
1142,Suelo,Alquiler,Barcelona,Carmen
1143,Suelo,Alquiler,Barcelona,Carmen
1144,Piso,Alquiler,Tarragona,Joaquín
1145,Oficina,Venta,Barcelona,Joaquín
1146,Industrial,Alquiler,Lleida,Carmen
1147,Oficina,Alquiler,Barcelona,Jesús
1148,Oficina,Alquiler,Lleida,Carmen
1149,Piso,Alquiler,Lleida,Jesús
1150,Local,Venta,Barcelona,Carmen
1151,Local,Venta,Girona,Pedro
1152,Suelo,Venta,Lleida,Jesús
1153,Piso,Alquiler,Barcelona,Carmen
1154,Suelo,Venta,Tarragona,Carmen
1155,Industrial,Venta,Tarragona,Luisa
1156,Local,Venta,Girona,María
1157,Oficina,Venta,Barcelona,Carmen
1158,Industrial,Venta,Tarragona,Joaquín
1159,Industrial,Venta,Barcelona,Jesús
1160,Suelo,Venta,Lleida,Luisa
1161,Local,Venta,Tarragona,Joaquín
1162,Industrial,Alquiler,Tarragona,Joaquín
1163,Parking,Venta,Lleida,Joaquín
1164,Suelo,Alquiler,Lleida,Pedro
1165,Piso,Alquiler,Lleida,Luisa
1166,Parking,Venta,Lleida,Pedro
1167,Piso,Venta,Girona,Pedro
1168,Casa,Alquiler,Tarragona,Joaquín
1169,Local,Alquiler,Tarragona,Jesús
1170,Oficina,Venta,Tarragona,Jesús
1171,Oficina,Venta,Girona,Luisa
1172,Local,Venta,Lleida,María
1173,Piso,Venta,Lleida,María
1174,Local,Alquiler,Girona,María
1175,Casa,Venta,Barcelona,Joaquín
1176,Suelo,Alquiler,Lleida,Jesús
1177,Parking,Venta,Tarragona,Pedro
1178,Casa,Venta,Barcelona,Jesús
1179,Oficina,Alquiler,Barcelona,Jesús
1180,Casa,Alquiler,Barcelona,María
1181,Suelo,Venta,Girona,Carmen
1182,Parking,Alquiler,Girona,María
1183,Oficina,Alquiler,Lleida,Luisa
1184,Piso,Venta,Barcelona,Joaquín
1185,Casa,Alquiler,Girona,Luisa
1186,Industrial,Alquiler,Girona,María
1187,Parking,Alquiler,Girona,Pedro
1188,Piso,Alquiler,Barcelona,Carmen
1189,Parking,Venta,Girona,Carmen
1190,Industrial,Venta,Barcelona,Pedro
1191,Casa,Alquiler,Girona,Jesús
1192,Casa,Alquiler,Barcelona,Carmen
1193,Casa,Alquiler,Tarragona,Pedro
1194,Piso,Alquiler,Girona,Pedro
1195,Suelo,Venta,Girona,Joaquín
1196,Suelo,Venta,Tarragona,Luisa
1197,Piso,Venta,Barcelona,Pedro
1198,Oficina,Alquiler,Barcelona,Joaquín
1199,Local,Venta,Barcelona,Luisa
1200,Suelo,Venta,Tarragona,Carmen
1201,Suelo,Alquiler,Tarragona,María
1202,Industrial,Venta,Lleida,Pedro
1203,Oficina,Venta,Barcelona,Pedro
1204,Local,Venta,Barcelona,Joaquín
1205,Suelo,Venta,Barcelona,María
1206,Oficina,Venta,Tarragona,Joaquín
1207,Suelo,Alquiler,Girona,Joaquín
1208,Piso,Alquiler,Girona,Carmen
1209,Suelo,Alquiler,Lleida,Jesús
1210,Local,Venta,Lleida,Jesús
1211,Casa,Venta,Barcelona,Carmen
1212,Casa,Venta,Tarragona,María
1213,Casa,Alquiler,Girona,María
1214,Piso,Alquiler,Lleida,Pedro
1215,Piso,Alquiler,Lleida,Luisa
1216,Casa,Venta,Barcelona,Pedro
1217,Piso,Venta,Girona,Carmen
1218,Suelo,Venta,Barcelona,Luisa
1219,Parking,Venta,Tarragona,Joaquín
1220,Local,Alquiler,Barcelona,Joaquín
1221,Piso,Alquiler,Tarragona,Joaquín
1222,Parking,Venta,Girona,María
1223,Parking,Venta,Tarragona,Carmen
1224,Parking,Venta,Girona,Jesús
1225,Piso,Venta,Lleida,María
1226,Industrial,Alquiler,Girona,María
1227,Piso,Alquiler,Tarragona,Carmen
1228,Suelo,Alquiler,Tarragona,María
1229,Suelo,Venta,Girona,Carmen
1230,Suelo,Venta,Barcelona,Luisa
1231,Local,Alquiler,Barcelona,María
1232,Parking,Venta,Lleida,Carmen
1233,Local,Venta,Lleida,Jesús
1234,Piso,Venta,Lleida,Joaquín
1235,Oficina,Venta,Barcelona,María
1236,Casa,Alquiler,Lleida,Joaquín
1237,Casa,Venta,Girona,Luisa
1238,Casa,Venta,Lleida,María
1239,Industrial,Alquiler,Lleida,Carmen
1240,Local,Alquiler,Tarragona,Joaquín
1241,Piso,Alquiler,Girona,Pedro
1242,Industrial,Alquiler,Girona,Carmen
1243,Oficina,Alquiler,Barcelona,Pedro
1244,Parking,Venta,Girona,María
1245,Parking,Venta,Barcelona,Joaquín
1246,Industrial,Venta,Barcelona,Luisa
1247,Piso,Alquiler,Tarragona,Carmen
1248,Parking,Alquiler,Barcelona,Joaquín
1249,Piso,Venta,Girona,Luisa
1250,Local,Alquiler,Barcelona,Carmen
1251,Oficina,Venta,Barcelona,Luisa
1252,Industrial,Alquiler,Barcelona,Joaquín
1253,Industrial,Venta,Barcelona,Luisa
1254,Casa,Venta,Girona,Carmen
1255,Piso,Venta,Girona,María
1256,Parking,Venta,Girona,Pedro
1257,Casa,Alquiler,Tarragona,Jesús
1258,Industrial,Venta,Tarragona,Luisa
1259,Industrial,Venta,Barcelona,Pedro
1260,Suelo,Alquiler,Tarragona,Jesús
1261,Industrial,Alquiler,Barcelona,Joaquín
1262,Casa,Venta,Tarragona,Jesús
1263,Oficina,Alquiler,Tarragona,Pedro
1264,Suelo,Alquiler,Barcelona,Joaquín
1265,Oficina,Venta,Tarragona,Joaquín
1266,Parking,Venta,Lleida,Luisa
1267,Industrial,Alquiler,Girona,Joaquín
1268,Piso,Venta,Barcelona,María
1269,Casa,Alquiler,Barcelona,Joaquín
1270,Parking,Venta,Tarragona,Luisa
1271,Suelo,Alquiler,Girona,Joaquín
1272,Piso,Venta,Girona,Pedro
1273,Piso,Venta,Lleida,Pedro
1274,Piso,Alquiler,Tarragona,Luisa
1275,Industrial,Alquiler,Lleida,Luisa
1276,Industrial,Alquiler,Lleida,María
1277,Piso,Alquiler,Lleida,María
1278,Suelo,Venta,Lleida,Carmen
1279,Industrial,Alquiler,Lleida,Joaquín
1280,Piso,Venta,Girona,Jesús
1281,Casa,Venta,Tarragona,Jesús
1282,Local,Alquiler,Girona,Jesús
1283,Suelo,Alquiler,Tarragona,Joaquín
1284,Piso,Alquiler,Girona,Pedro
1285,Parking,Alquiler,Girona,Luisa
1286,Suelo,Venta,Barcelona,Jesús
1287,Casa,Alquiler,Tarragona,María
1288,Casa,Alquiler,Tarragona,Luisa
1289,Casa,Alquiler,Lleida,Luisa
1290,Industrial,Venta,Tarragona,Joaquín
1291,Industrial,Alquiler,Lleida,Pedro
1292,Industrial,Venta,Tarragona,Pedro
1293,Local,Venta,Barcelona,Joaquín
1294,Oficina,Alquiler,Girona,Luisa
1295,Oficina,Venta,Lleida,Carmen
1296,Industrial,Venta,Girona,Jesús
1297,Industrial,Venta,Barcelona,Jesús
1298,Local,Venta,Girona,Pedro
