,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
2231,2232,2006-03-07,Parking,Venta,Barcelona,227,2257515,2007-02-06,Luisa
2244,2245,2006-03-13,Parking,Alquiler,Barcelona,182,1489124,2007-02-22,Pedro
2251,2252,2006-03-15,Parking,Venta,Lleida,48,400512,2006-07-22,Pedro
2257,2258,2006-03-18,Parking,Alquiler,Barcelona,60,358620,2006-11-26,María
2267,2268,2006-03-21,Parking,Alquiler,Girona,97,885998,2007-01-31,Carmen
2273,2274,2006-03-26,Parking,Alquiler,Lleida,114,978120,2007-01-19,María
2279,2280,2006-03-28,Parking,Alquiler,Tarragona,290,1442460,2007-01-28,Carmen
2308,2309,2006-04-05,Parking,Venta,Tarragona,298,2236490,2007-01-07,Joaquín
2311,2312,2006-04-07,Parking,Alquiler,Girona,261,1189377,2006-09-19,Jesús
2315,2316,2006-04-07,Parking,Venta,Girona,181,1789185,2007-01-27,Carmen
2316,2317,2006-04-08,Parking,Venta,Tarragona,151,737635,2007-03-12,Carmen
2324,2325,2006-04-10,Parking,Alquiler,Barcelona,89,711199,2006-08-21,Carmen
2329,2330,2006-04-12,Parking,Alquiler,Tarragona,124,1026596,2007-03-28,Carmen
2330,2331,2006-04-12,Parking,Venta,Lleida,224,1901536,2007-03-23,Joaquín
2350,2351,2006-04-22,Parking,Alquiler,Lleida,94,559206,2006-09-23,Joaquín
2355,2356,2006-04-23,Parking,Venta,Girona,199,1777866,2006-12-23,Jesús
2362,2363,2006-04-27,Parking,Alquiler,Tarragona,286,2398682,2006-08-06,Joaquín
2363,2364,2006-04-28,Parking,Alquiler,Girona,70,533680,2007-01-09,María
2365,2366,2006-04-28,Parking,Alquiler,Tarragona,270,1716390,2006-11-22,Jesús
2376,2377,2006-05-01,Parking,Alquiler,Girona,123,984369,2007-03-23,Pedro
2380,2381,2006-05-02,Parking,Venta,Girona,205,1921260,2006-12-17,María
2387,2388,2006-05-05,Parking,Venta,Lleida,106,594130,2006-12-03,Carmen
2396,2397,2006-05-12,Parking,Alquiler,Barcelona,236,2001280,2007-03-04,Jesús
2397,2398,2006-05-12,Parking,Alquiler,Tarragona,92,506184,2006-12-29,María
2404,2405,2006-05-14,Parking,Alquiler,Barcelona,210,1371720,2007-03-26,Pedro
2409,2410,2006-05-15,Parking,Venta,Tarragona,67,615663,2007-03-24,Jesús
2426,2427,2006-05-21,Parking,Venta,Barcelona,213,928041,2006-12-10,Luisa
2434,2435,2006-05-24,Parking,Alquiler,Lleida,125,822625,2007-01-31,Joaquín
2444,2445,2006-05-28,Parking,Alquiler,Lleida,194,1466058,2007-01-29,Carmen
2449,2450,2006-05-29,Parking,Venta,Girona,202,1524898,2006-12-28,Carmen
2460,2461,2006-06-02,Parking,Alquiler,Girona,189,1342278,2006-12-16,Carmen
2469,2470,2006-06-04,Parking,Venta,Girona,129,616878,2006-11-21,María
2470,2471,2006-06-05,Parking,Alquiler,Tarragona,211,1126951,2006-12-08,Joaquín
2472,2473,2006-06-05,Parking,Alquiler,Barcelona,173,1251828,2007-03-04,Joaquín
2478,2479,2006-06-06,Parking,Venta,Tarragona,73,395879,2007-02-08,Jesús
2479,2480,2006-06-06,Parking,Alquiler,Tarragona,81,405324,,
2502,2503,2006-06-13,Parking,Venta,Girona,282,2717634,2006-11-30,Pedro
2510,2511,2006-06-16,Parking,Alquiler,Lleida,83,797215,2006-10-11,Pedro
2529,2530,2006-06-24,Parking,Alquiler,Barcelona,113,797215,2006-12-03,María
2532,2533,2006-06-25,Parking,Alquiler,Lleida,155,912330,2006-11-28,Pedro
2545,2546,2006-07-01,Parking,Alquiler,Girona,89,594698,2007-03-25,Jesús
2546,2547,2006-07-01,Parking,Alquiler,Lleida,234,1182636,2006-12-04,Carmen
2548,2549,2006-07-02,Parking,Alquiler,Tarragona,147,1362984,2007-02-12,Carmen
2549,2550,2006-07-02,Parking,Alquiler,Barcelona,163,1298947,2006-12-23,María
2556,2557,2006-07-05,Parking,Alquiler,Barcelona,283,1470185,2006-12-18,Jesús
2569,2570,2006-07-10,Parking,Venta,Barcelona,93,512430,2007-04-28,Carmen
2573,2574,2006-07-11,Parking,Venta,Barcelona,256,2470912,,
2578,2579,2006-07-16,Parking,Alquiler,Girona,274,2189534,2006-11-17,Luisa
2591,2592,2006-07-19,Parking,Venta,Girona,150,1076250,2006-11-05,Carmen
2592,2593,2006-07-19,Parking,Alquiler,Girona,147,891849,,
2599,2600,2006-07-22,Parking,Venta,Barcelona,64,485824,2007-02-24,María
2600,2601,2006-07-22,Parking,Venta,Girona,200,1021000,2006-11-20,Joaquín
2602,2603,2006-07-23,Parking,Venta,Girona,98,497546,2006-12-24,Luisa
2607,2608,2006-07-25,Parking,Alquiler,Lleida,159,931104,2007-03-20,María
2608,2609,2006-07-26,Parking,Alquiler,Girona,123,714999,,
2610,2611,2006-07-27,Parking,Alquiler,Tarragona,177,1064301,,
2613,2614,2006-07-28,Parking,Venta,Tarragona,242,1844282,,
2615,2616,2006-07-28,Parking,Alquiler,Lleida,282,1170300,2006-12-15,Jesús
2622,2623,2006-07-31,Parking,Alquiler,Lleida,108,1002348,,
2627,2628,2006-08-02,Parking,Alquiler,Lleida,237,1732233,2007-01-23,Pedro
2629,2630,2006-08-03,Parking,Alquiler,Tarragona,53,395751,2007-04-18,Joaquín
2635,2636,2006-08-07,Parking,Alquiler,Barcelona,169,1673607,2007-01-07,Luisa
2636,2637,2006-08-07,Parking,Venta,Girona,249,1422537,2007-04-02,Luisa
2638,2639,2006-08-08,Parking,Venta,Girona,211,1456322,2006-11-23,Carmen
2652,2653,2006-08-13,Parking,Venta,Barcelona,110,643060,2006-12-24,Carmen
2657,2658,2006-08-14,Parking,Alquiler,Tarragona,207,1473219,2007-02-20,Jesús
2663,2664,2006-08-19,Parking,Venta,Lleida,164,1165548,,
2666,2667,2006-08-21,Parking,Alquiler,Lleida,118,853494,,
2670,2671,2006-08-22,Parking,Venta,Lleida,99,925749,,
2672,2673,2006-08-22,Parking,Alquiler,Barcelona,40,380280,2007-03-29,Jesús
2680,2681,2006-08-26,Parking,Alquiler,Barcelona,61,531493,2007-01-03,Jesús
2682,2683,2006-08-26,Parking,Alquiler,Barcelona,59,307744,2007-04-28,María
2687,2688,2006-08-28,Parking,Venta,Girona,220,1230240,,
2690,2691,2006-08-29,Parking,Alquiler,Girona,44,380072,2006-12-14,Joaquín
2710,2711,2006-09-07,Parking,Venta,Girona,286,2153580,,
2714,2715,2006-09-07,Parking,Alquiler,Lleida,151,1110907,,
2720,2721,2006-09-09,Parking,Venta,Tarragona,48,256992,,
2721,2722,2006-09-10,Parking,Venta,Barcelona,251,2180939,,
2723,2724,2006-09-10,Parking,Venta,Lleida,202,874256,,
2729,2730,2006-09-13,Parking,Venta,Barcelona,68,583236,,
2737,2738,2006-09-16,Parking,Alquiler,Lleida,109,535408,2007-01-06,Joaquín
2749,2750,2006-09-21,Parking,Venta,Lleida,257,2121278,2007-02-23,Joaquín
2796,2797,2006-10-10,Parking,Venta,Lleida,275,2096050,,
2802,2803,2006-10-13,Parking,Venta,Tarragona,244,2429752,2007-01-15,Carmen
2808,2809,2006-10-15,Parking,Venta,Girona,206,1659742,2007-03-08,Jesús
2823,2824,2006-10-22,Parking,Venta,Girona,196,1210496,,
2827,2828,2006-10-23,Parking,Venta,Tarragona,187,1513765,,
2830,2831,2006-10-24,Parking,Alquiler,Tarragona,221,1318707,,
2832,2833,2006-10-25,Parking,Alquiler,Lleida,137,931463,,
2846,2847,2006-10-30,Parking,Alquiler,Lleida,63,416997,2007-03-13,Joaquín
2849,2850,2006-10-31,Parking,Venta,Barcelona,285,1638750,2007-05-04,Carmen
2857,2858,2006-11-03,Parking,Alquiler,Lleida,123,963459,,
2858,2859,2006-11-03,Parking,Alquiler,Lleida,141,763938,2007-05-06,Jesús
2859,2860,2006-11-03,Parking,Alquiler,Lleida,43,294722,2007-05-05,Jesús
2861,2862,2006-11-03,Parking,Alquiler,Girona,275,1623600,2007-04-28,Pedro
2871,2872,2006-11-06,Parking,Venta,Lleida,267,1516293,2007-02-21,Joaquín
2877,2878,2006-11-08,Parking,Venta,Girona,124,950832,,
2879,2880,2006-11-09,Parking,Alquiler,Lleida,295,1767345,2007-04-03,Jesús
2892,2893,2006-11-13,Parking,Alquiler,Lleida,186,1464192,,
2901,2902,2006-11-19,Parking,Venta,Girona,135,563760,2007-03-13,Pedro
2912,2913,2006-11-24,Parking,Venta,Barcelona,131,1008176,,
2914,2915,2006-11-24,Parking,Venta,Barcelona,185,1635030,,
2918,2919,2006-11-27,Parking,Venta,Lleida,49,327271,,
2929,2930,2006-11-29,Parking,Venta,Girona,82,643290,,
2932,2933,2006-11-30,Parking,Venta,Girona,44,353628,,
2938,2939,2006-12-02,Parking,Venta,Barcelona,187,1274218,,
2950,2951,2006-12-07,Parking,Venta,Tarragona,147,1045317,,
2965,2966,2006-12-12,Parking,Alquiler,Barcelona,147,679140,,
2984,2985,2006-12-19,Parking,Venta,Barcelona,200,1407200,,
2990,2991,2006-12-21,Parking,Venta,Barcelona,139,562394,,
2991,2992,2006-12-21,Parking,Venta,Lleida,95,776245,2007-04-15,Luisa
2994,2995,2006-12-23,Parking,Venta,Barcelona,237,1997436,,
2995,2996,2006-12-23,Parking,Venta,Lleida,186,1844190,,
3011,3012,2006-12-28,Parking,Venta,Lleida,182,1295840,,
3019,3020,2006-12-31,Parking,Venta,Girona,146,1399264,,
3021,3022,2007-01-01,Parking,Alquiler,Barcelona,106,906830,,
3027,3028,2007-01-06,Parking,Venta,Girona,247,2398617,,
3041,3042,2007-01-09,Parking,Venta,Barcelona,64,610816,,
3045,3046,2007-01-10,Parking,Venta,Barcelona,233,1077858,2007-04-30,María
3062,3063,2007-01-15,Parking,Alquiler,Barcelona,71,537825,,
3064,3065,2007-01-15,Parking,Venta,Tarragona,230,1486030,,
3069,3070,2007-01-18,Parking,Venta,Girona,243,1857735,,
3075,3076,2007-01-20,Parking,Alquiler,Tarragona,216,2143368,,
3081,3082,2007-01-21,Parking,Alquiler,Barcelona,268,1420132,,
3086,3087,2007-01-23,Parking,Venta,Lleida,59,268332,,
3091,3092,2007-01-26,Parking,Alquiler,Barcelona,189,1788885,,
3099,3100,2007-01-29,Parking,Venta,Barcelona,230,1445090,,
3109,3110,2007-02-02,Parking,Alquiler,Girona,46,301346,,
3114,3115,2007-02-03,Parking,Venta,Lleida,211,1528906,,
3120,3121,2007-02-06,Parking,Alquiler,Tarragona,292,2658076,,
3122,3123,2007-02-08,Parking,Venta,Tarragona,42,185010,,
3123,3124,2007-02-09,Parking,Alquiler,Girona,252,2154096,,
3129,3130,2007-02-11,Parking,Alquiler,Tarragona,62,443362,,
3131,3132,2007-02-11,Parking,Venta,Barcelona,54,521910,,
3160,3161,2007-02-23,Parking,Venta,Lleida,116,648092,,
3167,3168,2007-02-25,Parking,Venta,Lleida,291,1374975,,
3178,3179,2007-03-01,Parking,Alquiler,Tarragona,183,904935,,
3189,3190,2007-03-05,Parking,Venta,Barcelona,213,1324008,,
3193,3194,2007-03-07,Parking,Alquiler,Barcelona,62,397606,,
3196,3197,2007-03-07,Parking,Alquiler,Lleida,292,2262708,,
3200,3201,2007-03-09,Parking,Alquiler,Girona,93,849462,,
3203,3204,2007-03-09,Parking,Venta,Lleida,61,350872,,
3205,3206,2007-03-11,Parking,Alquiler,Lleida,285,1622790,,
3207,3208,2007-03-11,Parking,Venta,Tarragona,123,1083261,,
3221,3222,2007-03-16,Parking,Venta,Girona,138,1034034,,
3245,3246,2007-03-23,Parking,Venta,Barcelona,144,1035648,,
3250,3251,2007-03-24,Parking,Venta,Girona,60,366780,,
3264,3265,2007-03-30,Parking,Venta,Girona,51,393057,,
3270,3271,2007-04-02,Parking,Venta,Tarragona,119,1056839,,
3276,3277,2007-04-04,Parking,Venta,Lleida,197,1802156,,
3281,3282,2007-04-06,Parking,Alquiler,Barcelona,220,1296900,,
3286,3287,2007-04-08,Parking,Alquiler,Tarragona,76,443460,,
3288,3289,2007-04-09,Parking,Venta,Lleida,296,2914416,,
3294,3295,2007-04-11,Parking,Venta,Girona,123,1088181,,
3298,3299,2007-04-12,Parking,Alquiler,Girona,131,1224850,,
3306,3307,2007-04-14,Parking,Venta,Girona,221,1533077,,
3309,3310,2007-04-16,Parking,Alquiler,Tarragona,197,825430,,
3312,3313,2007-04-18,Parking,Alquiler,Tarragona,187,1297780,,
3320,3321,2007-04-23,Parking,Alquiler,Barcelona,81,607014,,
3329,3330,2007-04-27,Parking,Venta,Barcelona,88,612568,,
3336,3337,2007-04-30,Parking,Venta,Lleida,254,2140712,,
